N,Sex,Year,Weight,Height,BMI,BMI_Type
247,Female,2002,57,1.6,22.265625,Normal weight
248,Male,2002,65,1.67,23.30668005,Normal weight
249,Male,2003,80,1.95,21.03879027,Normal weight
250,Male,2004,55,1.7,19.03114187,Normal weight
251,Female,2003,60,1.62,22.86236854,Normal weight
252,Male,2004,54,1.62,20.57613169,Normal weight
253,Male,2002,54,1.72,18.25310979,Underweight
254,Female,2003,55,1.6,21.484375,Normal weight
256,Male,2002,61,1.76,19.69266529,Normal weight
257,Male,2003,50,1.65,18.36547291,Underweight
258,Male,2003,67.8,1.82,20.46854245,Normal weight
259,Male,2003,80,1.73,26.7299275,Pre-obesity
260,Male,2002,55.5,1.75,18.12244898,Underweight
261,Male,2003,56.6,1.75,18.48163265,Underweight
262,Female,2003,52,1.59,20.56880661,Normal weight
263,Female,2004,58,1.58,23.23345618,Normal weight
264,Female,2003,50,1.6,19.53125,Normal weight
265,Female,2003,65,1.6,25.390625,Pre-obesity
266,Female,2003,59.4,1.7,20.55363322,Normal weight
267,Female,2003,55,1.7,19.03114187,Normal weight
268,Male,2003,67.4,1.76,21.75878099,Normal weight
269,Male,2002,61.3,1.71,20.96371533,Normal weight
270,Female,2003,59.3,1.6,23.1640625,Normal weight
271,Female,2003,46.7,1.58,18.70693799,Normal weight
272,Female,2003,47,1.67,16.8525225,Underweight
273,Female,2002,45.5,1.65,16.71258035,Underweight
274,Male,2002,70.5,1.8,21.75925926,Normal weight
275,Male,2003,62,1.73,20.71569381,Normal weight
276,Male,2003,65,1.73,21.71806609,Normal weight
277,Female,2003,50,1.58,20.02884153,Normal weight
278,Female,2003,62,1.8,19.13580247,Normal weight
279,Male,2003,72,1.72,24.33747972,Normal weight
280,Male,2003,65.5,1.69,22.93337068,Normal weight
281,Female,2003,56.9,1.62,21.68114617,Normal weight
282,Male,2003,83.5,1.83,24.93356027,Pre-obesity
283,Female,2003,55,1.64,20.44913742,Normal weight
284,Male,2003,53,1.69,18.55677322,Normal weight
285,Female,2003,67,1.65,24.6097337,Normal weight
286,Male,2003,55.4,1.72,18.72633856,Normal weight
287,Female,2002,47,1.58,18.82711104,Normal weight
288,Female,2003,50.6,1.56,20.79224195,Normal weight
289,Female,2003,54.5,1.65,20.01836547,Normal weight
290,Female,2003,53,165,0.00194674,Underweight
291,Female,2002,43.2,1.59,17.08793165,Underweight
292,Male,2002,61,1.76,19.69266529,Normal weight
293,Female,2002,48,1.69,16.80613424,Underweight
294,Female,2002,50,1.58,20.02884153,Normal weight
295,Male,2003,92,1.74,30.3871053,Obesity class I
296,Female,2002,49,1.57,19.8791026,Normal weight
297,Female,2003,59.5,1.62,22.6718488,Normal weight
298,Female,2003,49.5,1.58,19.82855312,Normal weight
299,Male,2003,60,1.8,18.51851852,Normal weight
300,Male,2002,62.5,1.7,21.62629758,Normal weight
301,Male,2004,60,1.7,20.76124567,Normal weight
302,Male,2003,70,1.7,24.22145329,Normal weight
303,Male,2002,54.2,1.73,18.10952588,Underweight
305,Female,2003,45.6,1.56,18.73767258,Normal weight
306,Female,2003,42,1.55,17.4817898,Underweight
307,Male,2003,77.5,1.8,23.91975309,Normal weight
309,Male,2003,58.7,1.69,20.55250166,Normal weight
310,Male,2002,65.8,1.75,21.48571429,Normal weight
312,Female,2003,56,1.68,19.84126984,Normal weight
313,Female,2003,53.7,1.65,19.72451791,Normal weight
314,Female,2002,50,1.6,19.53125,Normal weight
315,Female,2003,45,1.57,18.25631871,Underweight
316,Female,2003,61.2,1.63,23.03436336,Normal weight
317,Female,2002,54.9,1.58,21.991668,Normal weight
318,Male,2003,75.2,1.83,22.45513452,Normal weight
